RegionID,RegionName,State,StateCodeFIPS,Date,HousingPrice
2460,Okaloosa County,FL,12,2010-03-31,180973.9284274905
2990,Okeechobee County,FL,12,2010-03-31,95171.95943675656
1287,Orange County,FL,12,2010-03-31,148549.9436105411
1957,Osceola County,FL,12,2010-03-31,126745.1550517793
2993,Palm Beach County,FL,12,2010-03-31,175784.85785394162
669,Pasco County,FL,12,2010-03-31,137086.7670659834
2480,Pinellas County,FL,12,2010-03-31,144778.40486701642
285,Polk County,FL,12,2010-03-31,117205.8909022803
1338,Putnam County,FL,12,2010-03-31,89774.73081382707
3128,Saint Johns County,FL,12,2010-03-31,228681.0146408838
3131,Saint Lucie County,FL,12,2010-03-31,105450.15386397048
3026,Santa Rosa County,FL,12,2010-03-31,157648.87473053276
2528,Sarasota County,FL,12,2010-03-31,173128.26360081843
2538,Seminole County,FL,12,2010-03-31,159754.00248695273
1409,Sumter County,FL,12,2010-03-31,194357.4982446487
2570,Suwannee County,FL,12,2010-03-31,120226.02440123602
1419,Taylor County,FL,12,2010-03-31,90719.38222380524
762,Union County,FL,12,2010-03-31,107807.83688072248
2063,Volusia County,FL,12,2010-03-31,131029.54582086403
2066,Wakulla County,FL,12,2010-03-31,138456.06295935673
1468,Walton County,FL,12,2010-03-31,271467.00121081865
1509,Alachua County,FL,12,2010-04-30,168006.52769969156
378,Baker County,FL,12,2010-04-30,138164.35427243577
67,Bay County,FL,12,2010-04-30,172490.10101395546
2148,Bradford County,FL,12,2010-04-30,109086.87380836716
1556,Brevard County,FL,12,2010-04-30,134190.91985864405
1561,Broward County,FL,12,2010-04-30,147318.67994621268
1571,Calhoun County,FL,12,2010-04-30,94233.13652828697
2650,Charlotte County,FL,12,2010-04-30,126240.27358079032
938,Citrus County,FL,12,2010-04-30,122667.25856501742
118,Clay County,FL,12,2010-04-30,158158.1037946532
1638,Collier County,FL,12,2010-04-30,253593.00837533464
2212,Columbia County,FL,12,2010-04-30,118564.33764846069
1659,De Soto County,FL,12,2010-04-30,91971.30416385792
480,Dixie County,FL,12,2010-04-30,76510.51638695934
489,Duval County,FL,12,2010-04-30,136941.91275712466
2259,Escambia County,FL,12,2010-04-30,135419.00916384932
1707,Flagler County,FL,12,2010-04-30,153412.14781343765
2272,Franklin County,FL,12,2010-04-30,198841.5298860299
1717,Gadsden County,FL,12,2010-04-30,104645.07857021432
2704,Gilchrist County,FL,12,2010-04-30,115365.62455356884
1042,Glades County,FL,12,2010-04-30,88211.96025249998
169,Gulf County,FL,12,2010-04-30,154581.48097196824
2315,Hamilton County,FL,12,2010-04-30,80905.3397169093
1076,Hardee County,FL,12,2010-04-30,85482.97196645032
1093,Hendry County,FL,12,2010-04-30,77737.58376459243
2341,Hernando County,FL,12,2010-04-30,118082.72546713852
2724,Highlands County,FL,12,2010-04-30,94508.4502868998
3165,Hillsborough County,FL,12,2010-04-30,141441.907115882
1094,Holmes County,FL,12,2010-04-30,95359.35699523454
3168,Indian River County,FL,12,2010-04-30,150855.6522725421
1794,Jackson County,FL,12,2010-04-30,95445.2430879298
2735,Jefferson County,FL,12,2010-04-30,133102.46452864882
2769,Lafayette County,FL,12,2010-04-30,100826.53045500572
219,Lake County,FL,12,2010-04-30,148530.71688105862
80,Lee County,FL,12,2010-04-30,134728.9316697278
232,Leon County,FL,12,2010-04-30,174475.76878844164
234,Levy County,FL,12,2010-04-30,114915.68180928665
1896,Madison County,FL,12,2010-04-30,98516.49757002678
1916,Manatee County,FL,12,2010-04-30,171522.8246516211
1161,Marion County,FL,12,2010-04-30,123053.2392129794
1176,Martin County,FL,12,2010-04-30,175783.43798329064
2964,Miami-Dade County,FL,12,2010-04-30,172075.63841077616
1251,Nassau County,FL,12,2010-04-30,205137.7583551608
2460,Okaloosa County,FL,12,2010-04-30,182163.49871211857
2990,Okeechobee County,FL,12,2010-04-30,94682.40092683876
1287,Orange County,FL,12,2010-04-30,147857.85690359765
1957,Osceola County,FL,12,2010-04-30,126645.34988717224
2993,Palm Beach County,FL,12,2010-04-30,175691.72548212507
669,Pasco County,FL,12,2010-04-30,137013.11383657742
2480,Pinellas County,FL,12,2010-04-30,144785.194039722
285,Polk County,FL,12,2010-04-30,116100.46394915384
1338,Putnam County,FL,12,2010-04-30,89271.73781951884
3128,Saint Johns County,FL,12,2010-04-30,228258.5999081192
3131,Saint Lucie County,FL,12,2010-04-30,105495.4581970073
3026,Santa Rosa County,FL,12,2010-04-30,158325.5467568778
2528,Sarasota County,FL,12,2010-04-30,174277.0719621028
2538,Seminole County,FL,12,2010-04-30,158427.8089708403
1409,Sumter County,FL,12,2010-04-30,195578.17793148544
2570,Suwannee County,FL,12,2010-04-30,119770.09794499032
1419,Taylor County,FL,12,2010-04-30,90196.70251287131
762,Union County,FL,12,2010-04-30,107454.25056837936
2063,Volusia County,FL,12,2010-04-30,130175.4202234388
2066,Wakulla County,FL,12,2010-04-30,137703.09844789866
1468,Walton County,FL,12,2010-04-30,271115.59614563803
1509,Alachua County,FL,12,2010-05-31,165858.43658668324
378,Baker County,FL,12,2010-05-31,137568.89489797273
67,Bay County,FL,12,2010-05-31,171749.82748208102
2148,Bradford County,FL,12,2010-05-31,108684.57700144724
1556,Brevard County,FL,12,2010-05-31,133764.5740515579
1561,Broward County,FL,12,2010-05-31,146787.3854390071
1571,Calhoun County,FL,12,2010-05-31,94096.82405760876
2650,Charlotte County,FL,12,2010-05-31,126331.6859509502
938,Citrus County,FL,12,2010-05-31,122350.41301036866
118,Clay County,FL,12,2010-05-31,157686.44023527278
1638,Collier County,FL,12,2010-05-31,254002.47501410183
2212,Columbia County,FL,12,2010-05-31,117910.76474926875
1659,De Soto County,FL,12,2010-05-31,91439.12071473392
480,Dixie County,FL,12,2010-05-31,76490.11709499014
489,Duval County,FL,12,2010-05-31,136728.66234881314
2259,Escambia County,FL,12,2010-05-31,135211.73516036302
1707,Flagler County,FL,12,2010-05-31,152813.61081454784
2272,Franklin County,FL,12,2010-05-31,198327.5544093792
1717,Gadsden County,FL,12,2010-05-31,104089.59344022084
2704,Gilchrist County,FL,12,2010-05-31,115138.5876166428
1042,Glades County,FL,12,2010-05-31,87836.10694557878
169,Gulf County,FL,12,2010-05-31,154498.11990956796
2315,Hamilton County,FL,12,2010-05-31,80679.25691473558
1076,Hardee County,FL,12,2010-05-31,85271.32965175231
1093,Hendry County,FL,12,2010-05-31,77398.87565740917
2341,Hernando County,FL,12,2010-05-31,117005.53109811115
2724,Highlands County,FL,12,2010-05-31,93864.4716667225
3165,Hillsborough County,FL,12,2010-05-31,141379.41313733274
1094,Holmes County,FL,12,2010-05-31,95234.89634561124
3168,Indian River County,FL,12,2010-05-31,150505.40386498533
1794,Jackson County,FL,12,2010-05-31,95253.89627482792
2735,Jefferson County,FL,12,2010-05-31,132520.30868893387
2769,Lafayette County,FL,12,2010-05-31,100171.84145701554
219,Lake County,FL,12,2010-05-31,147386.36284538268
80,Lee County,FL,12,2010-05-31,134904.41751013155
232,Leon County,FL,12,2010-05-31,174463.45506037408
234,Levy County,FL,12,2010-05-31,114435.31685501352
1896,Madison County,FL,12,2010-05-31,98143.18243011634
1916,Manatee County,FL,12,2010-05-31,170766.93638889387
1161,Marion County,FL,12,2010-05-31,121713.00869612148
1176,Martin County,FL,12,2010-05-31,175332.01409048238
2964,Miami-Dade County,FL,12,2010-05-31,171619.59926468408
1251,Nassau County,FL,12,2010-05-31,204018.54708831888
2460,Okaloosa County,FL,12,2010-05-31,182390.63453731185
2990,Okeechobee County,FL,12,2010-05-31,94167.4865893686
1287,Orange County,FL,12,2010-05-31,146985.7386555325
1957,Osceola County,FL,12,2010-05-31,126023.5461472491
2993,Palm Beach County,FL,12,2010-05-31,175256.35506813193
669,Pasco County,FL,12,2010-05-31,136730.0632635559
2480,Pinellas County,FL,12,2010-05-31,144387.7090959035
285,Polk County,FL,12,2010-05-31,114636.71807423944
1338,Putnam County,FL,12,2010-05-31,88852.50933899784
3128,Saint Johns County,FL,12,2010-05-31,227689.9575834892
3131,Saint Lucie County,FL,12,2010-05-31,105736.74222366123
3026,Santa Rosa County,FL,12,2010-05-31,158591.5143705908
2528,Sarasota County,FL,12,2010-05-31,174708.26289893914
2538,Seminole County,FL,12,2010-05-31,157944.0030056309
1409,Sumter County,FL,12,2010-05-31,197053.58004380224
2570,Suwannee County,FL,12,2010-05-31,119296.6197525652
1419,Taylor County,FL,12,2010-05-31,89737.22758004356
762,Union County,FL,12,2010-05-31,107427.53605068255
2063,Volusia County,FL,12,2010-05-31,129638.0473771296
2066,Wakulla County,FL,12,2010-05-31,136864.1940604252
1468,Walton County,FL,12,2010-05-31,267736.58872404805
1509,Alachua County,FL,12,2010-06-30,163788.6166293502
378,Baker County,FL,12,2010-06-30,137081.72466499254
67,Bay County,FL,12,2010-06-30,171823.32824631737
2148,Bradford County,FL,12,2010-06-30,108379.62193383576
1556,Brevard County,FL,12,2010-06-30,133356.6849464478
1561,Broward County,FL,12,2010-06-30,145956.03491906685
