class,feature,coefficient,absolute_coefficient,direction
Medium,baseline_housing_price,0.6482,0.6482,Positive
Medium,appreciation_from_baseline_pct,0.0359,0.0359,Positive
Medium,price_growth_acceleration,0.0252,0.0252,Positive
Medium,high_growth_flag,0.2177,0.2177,Positive
Medium,high_volatility_flag,-0.2092,0.2092,Negative
Medium,complete_year_flag,0.0473,0.0473,Positive
Medium,neighbor_count,-0.0667,0.0667,Negative
Medium,neighbor_avg_housing_price,0.3288,0.3288,Positive
Medium,neighbor_avg_price_growth_pct,0.0955,0.0955,Positive
Medium,neighbor_avg_price_volatility,-0.0495,0.0495,Negative
Medium,neighbor_high_growth_share,-0.2847,0.2847,Negative
Medium,neighbor_high_volatility_share,0.2169,0.2169,Positive
Medium,disaster_count,0.151,0.151,Positive
Medium,unique_disaster_events,0.151,0.151,Positive
Medium,climate_disaster_count,-0.1375,0.1375,Negative
Medium,hurricane_disaster_count,-0.1292,0.1292,Negative
Medium,tropical_storm_disaster_count,0.024,0.024,Positive
Medium,severe_storm_disaster_count,0.0198,0.0198,Positive
Medium,flood_disaster_count,0.0,0.0,Zero
Medium,fire_disaster_count,-0.3151,0.3151,Negative
Medium,any_disaster_flag,-0.1314,0.1314,Negative
Medium,any_climate_disaster_flag,0.1568,0.1568,Positive
Medium,cumulative_disaster_count,-0.1486,0.1486,Negative
Medium,cumulative_climate_disaster_count,-0.2797,0.2797,Negative
Medium,recent_3yr_disaster_count,0.1309,0.1309,Positive
Medium,recent_3yr_climate_disaster_count,-0.0292,0.0292,Negative
Medium,acs_total_population,0.1711,0.1711,Positive
Medium,median_household_income,-0.264,0.264,Negative
Medium,poverty_rate,0.0014,0.0014,Positive
Medium,unemployment_rate,0.2083,0.2083,Positive
Medium,owner_occupied_share,-0.1154,0.1154,Negative
Medium,renter_occupied_share,0.1154,0.1154,Positive
Medium,median_gross_rent,0.1546,0.1546,Positive
Medium,acs_median_home_value,-0.3149,0.3149,Negative
Medium,price_to_income_ratio,0.0416,0.0416,Positive
Medium,acs_estimated_2025_flag,0.0,0.0,Zero
Medium,nfip_claim_count,-0.1745,0.1745,Negative
Medium,nfip_policy_count_sum,0.0357,0.0357,Positive
Medium,nfip_total_building_payment,-0.0342,0.0342,Negative
Medium,nfip_total_contents_payment,-0.041,0.041,Negative
Medium,nfip_total_icc_payment,0.2924,0.2924,Positive
Medium,nfip_total_claim_payment,-0.0344,0.0344,Negative
Medium,nfip_avg_claim_payment,0.1339,0.1339,Positive
Medium,nfip_total_building_coverage,0.0125,0.0125,Positive
Medium,nfip_total_contents_coverage,-0.1126,0.1126,Negative
Medium,nfip_cumulative_claim_count,-0.1275,0.1275,Negative
Medium,nfip_cumulative_claim_payment,-0.1233,0.1233,Negative
Medium,nfip_recent_3yr_claim_count,0.1431,0.1431,Positive
Medium,nfip_recent_3yr_claim_payment,-0.0925,0.0925,Negative
Medium,nfip_claim_year_indicator,-0.0213,0.0213,Negative
