STCOFIPS,RegionName,avg_annual_price_growth_pct,avg_price_to_income_ratio,avg_housing_price,avg_coastal_flood_risk,avg_hurricane_risk,growth_group
12067,Lafayette County,6.183518640394146,3.0208063904081146,148989.99036654242,22.0,84.39716312056738,Moderate-growth counties
12069,Lake County,6.530590849017841,4.163325578062565,239288.06625722678,35.4,94.99374217772215,Moderate-growth counties
12071,Lee County,7.081684984776356,4.162691574042047,250705.24595411395,97.4,99.9165623696287,Higher-growth counties
12073,Leon County,3.5114338928593036,3.755075130791661,205100.28463958923,23.4,97.12140175219024,Lower-growth counties
12075,Levy County,6.5491147217009615,4.062323577677769,175688.5702146301,72.59999999999998,91.6145181476846,Moderate-growth counties
12077,Liberty County,5.6209921955969575,2.850343900041023,126633.26850838392,28.6,82.06090947017105,Lower-growth counties
12079,Madison County,5.34666820401332,3.3855525945202234,131901.43190005267,0.0,90.5715477680434,Lower-growth counties
12081,Manatee County,6.761673910584339,4.715188184119501,290688.08906917,98.0,99.33249895702964,Moderate-growth counties
12083,Marion County,6.115211614779868,3.6124859443081623,176093.06266528647,24.6,97.83062161034628,Moderate-growth counties
12085,Martin County,6.7219568068685005,4.496126103050665,293710.85747274087,73.0,98.7067167292449,Moderate-growth counties
12086,Miami-Dade County,8.026022835641992,5.778342504403732,318826.6705996035,99.6,99.95828118481434,Higher-growth counties
12087,Monroe County,7.4840359620632535,9.708846721508582,736500.2358488863,98.8,97.99749687108884,Higher-growth counties
12089,Nassau County,6.057701176296321,4.31035898365411,310126.21180429717,75.79999999999998,88.36045056320401,Moderate-growth counties
12091,Okaloosa County,4.699871248177641,3.755184374354845,248019.57833297196,62.6,98.08093450146016,Lower-growth counties
12093,Okeechobee County,7.8525968802216815,3.5690802690553918,161002.2344459161,0.0,93.53358364622444,Higher-growth counties
12095,Orange County,7.357576046785066,4.21203568619761,259858.5266333834,0.0,98.0392156862745,Higher-growth counties
12097,Osceola County,7.858897182659842,4.27091645659441,240178.97408482598,0.0,94.15936587400918,Higher-growth counties
12099,Palm Beach County,7.244242967739979,4.580061596162946,304221.794370899,93.4,99.87484355444305,Higher-growth counties
12101,Pasco County,6.649342632570129,3.8978917475606645,217364.38216285637,90.8,98.1226533166458,Moderate-growth counties
12103,Pinellas County,6.974027205164144,4.245651712989412,244822.74888784028,99.2,98.8735919899875,Higher-growth counties
12105,Polk County,7.179208802528536,3.6294934262581875,194188.465311567,0.0,98.49812265331664,Higher-growth counties
12107,Putnam County,6.092240538219658,3.3184273844522765,131836.07597433735,60.4,93.45014601585316,Moderate-growth counties
12109,Saint Johns County,5.6551303314514625,4.013131361632765,337403.39836939296,89.0,93.70045890696704,Lower-growth counties
12111,Saint Lucie County,9.13072467229751,4.063795563644958,229315.0414143294,65.2,99.20734251147267,Higher-growth counties
12113,Santa Rosa County,5.526375459576849,3.1776708327653376,229758.8506410458,70.8,97.24655819774716,Lower-growth counties
12115,Sarasota County,6.376909691814695,4.5508802899008165,293581.0080251871,93.60000000000004,99.54109303295786,Moderate-growth counties
12117,Seminole County,6.824880028781866,3.7075861440137574,260560.04252433742,0.0,94.65999165623698,Moderate-growth counties
12119,Sumter County,4.822197325809415,4.80207527672916,286468.3009224776,0.0,95.82811848143514,Lower-growth counties
12121,Suwannee County,5.588724406884804,3.6401320557459442,166159.3687364086,0.0,93.36670838548184,Lower-growth counties
12123,Taylor County,5.042159420084328,3.0380334569024665,125259.87270717895,76.59999999999998,92.69920734251149,Lower-growth counties
12125,Union County,6.10820151328364,3.0789553145325783,156181.06572332236,0.0,81.47684605757196,Moderate-growth counties
12127,Volusia County,6.780025430548374,3.9405167371410275,211391.4383653867,85.0,98.45640383813101,Moderate-growth counties
12129,Wakulla County,5.071143702525541,2.8751348121991698,186194.2124597187,61.2,84.48060075093868,Lower-growth counties
12131,Walton County,6.54391518590275,7.237817378570455,441864.2326437138,62.2,97.37171464330412,Moderate-growth counties
12133,Washington County,7.079600685994211,3.101631411244759,135642.3148581446,22.4,92.49061326658324,Higher-growth counties
