STCOFIPS,RegionName,avg_housing_price,avg_annual_price_growth_pct,total_appreciation_from_baseline_pct,flood_risk,hurricane_risk,social_vulnerability,resilience,cumulative_climate_disasters,cumulative_nfip_claim_payment,avg_price_to_income_ratio
12107,Putnam County,131836.07597433735,6.092240538219658,138.74136262836717,60.4,93.45014601585316,79.67557252,13.199745547073793,20,8966464.56,3.3184273844522765
12109,Saint Johns County,337403.39836939296,5.6551303314514625,125.9102810336911,89.0,93.70045890696704,11.38676845,96.27862595419847,17,244978943.55,4.013131361632765
12111,Saint Lucie County,229315.0414143294,9.13072467229751,266.9735011249854,65.2,99.20734251147267,51.24045802,49.55470737913486,14,14207186.52,4.063795563644958
12113,Santa Rosa County,229758.8506410458,5.526375459576849,121.08355213353092,70.8,97.24655819774716,12.18193384,54.67557251908397,19,55201794.47,3.1776708327653376
12115,Sarasota County,293581.0080251871,6.376909691814695,168.94051852496227,93.60000000000004,99.54109303295786,67.01653944,9.192111959287532,19,820323432.62,4.5508802899008165
12117,Seminole County,260560.04252433742,6.824880028781866,166.25023892482503,0.0,94.65999165623698,15.26717557,59.732824427480914,17,49188212.27,3.7075861440137574
12119,Sumter County,286468.3009224776,4.822197325809415,102.7799567945468,0.0,95.82811848143514,90.04452926,46.97837150127226,18,912993.33,4.80207527672916
12121,Suwannee County,166159.3687364086,5.588724406884804,119.35413059385964,0.0,93.36670838548184,60.11450382,5.184478371501272,20,6112383.449999999,3.6401320557459442
12123,Taylor County,125259.87270717895,5.042159420084328,109.03615969921496,76.59999999999998,92.69920734251149,89.40839694999998,26.749363867684483,22,33483471.6,3.0380334569024665
12125,Union County,156181.06572332236,6.10820151328364,137.57789262230986,0.0,81.47684605757196,39.47201018,31.99745547073791,18,264020.39,3.0789553145325783
12127,Volusia County,211391.4383653867,6.780025430548374,166.1907063206535,85.0,98.45640383813101,56.67938931,48.2824427480916,17,531585130.98,3.9405167371410275
12129,Wakulla County,186194.2124597187,5.071143702525541,106.85204549345488,61.2,84.48060075093868,12.754452929999998,42.239185750636125,20,12785290.55,2.8751348121991698
